filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
1193-receipt.jpg,14744,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",67,0,"{""name"":""rect"",""x"":48,""y"":34,""width"":238,""height"":301}","{""name"":""Marie Callender's Restaurant Store #0134 2131 Price St. Pismo Beach, CA 93449 (805) 773-0606 www.mcpies.com 111590 Becky Tbl 2/1 Chk 1878 Nov30'14 06:35PM Gst 2 1 **CORNBREAD SVC 2 TRIO- POT PIE O 9.99 2 C- PIE SLICE 1 NO BEVERAGE i SOFT DRINK BDAY CLUB $5 0.00 19.98 0.00 0.00 2.79 5.00- Subtotal Tax 07:10PM Total 17.77 1.42 19.19 Indulge.. Take home a whole pie! "",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1193-receipt.jpg,14744,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",67,1,"{""name"":""rect"",""x"":87,""y"":34,""width"":39,""height"":13}","{""name"":""Marie"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1193-receipt.jpg,14744,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",67,2,"{""name"":""rect"",""x"":125,""y"":36,""width"":60,""height"":10}","{""name"":""Callender's"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1193-receipt.jpg,14744,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",67,3,"{""name"":""rect"",""x"":192,""y"":35,""width"":55,""height"":9}","{""name"":""Restaurant"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1193-receipt.jpg,14744,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",67,4,"{""name"":""rect"",""x"":136,""y"":46,""width"":27,""height"":10}","{""name"":""Store"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1193-receipt.jpg,14744,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",67,5,"{""name"":""rect"",""x"":170,""y"":46,""width"":27,""height"":9}","{""name"":""#0134"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1193-receipt.jpg,14744,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",67,6,"{""name"":""rect"",""x"":130,""y"":58,""width"":21,""height"":9}","{""name"":""2131"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1193-receipt.jpg,14744,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",67,7,"{""name"":""rect"",""x"":159,""y"":57,""width"":28,""height"":9}","{""name"":""Price"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1193-receipt.jpg,14744,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",67,8,"{""name"":""rect"",""x"":193,""y"":57,""width"":14,""height"":8}","{""name"":""St."",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
1193-receipt.jpg,14744,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",67,9,"{""name"":""rect"",""x"":108,""y"":69,""width"":29,""height"":11}","{""name"":""Pismo"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
